structural,semantic,n_full,n_answerable,blip_strict,blip_norm,vilt_strict,vilt_norm,vilt_answerable,gap_strict,gap_norm,gap_answerable
choose,attr,8488,8203,0.6404,0.6422,0.5371,0.5388,0.5575,0.1033,0.1034,0.0847
choose,cat,1431,1380,0.7289,0.7303,0.6073,0.6150,0.6377,0.1216,0.1153,0.0926
choose,global,556,547,0.9442,0.9442,0.8957,0.8957,0.9104,0.0486,0.0486,0.0338
choose,rel,5754,5747,0.5202,0.5203,0.5070,0.5073,0.5079,0.0132,0.0130,0.0124
compare,attr,4157,4042,0.4857,0.4859,0.4876,0.4876,0.5015,-0.0019,-0.0017,-0.0156
logical,attr,3411,3411,0.7077,0.7077,0.6722,0.6722,0.6722,0.0355,0.0355,0.0355
logical,obj,12685,12685,0.5138,0.5138,0.4894,0.4894,0.4894,0.0244,0.0244,0.0244
query,attr,18092,17786,0.5048,0.5069,0.4844,0.4856,0.4940,0.0205,0.0213,0.0129
query,cat,7185,6731,0.5175,0.5342,0.4803,0.4988,0.5325,0.0372,0.0354,0.0017
query,global,2612,2346,0.3492,0.3492,0.3090,0.3090,0.3440,0.0402,0.0402,0.0052
query,rel,40278,37844,0.3817,0.4112,0.3677,0.3934,0.4187,0.0140,0.0178,-0.0075
verify,attr,8053,8053,0.6718,0.6718,0.6499,0.6499,0.6499,0.0219,0.0219,0.0219
verify,global,879,879,0.9556,0.9556,0.9511,0.9511,0.9511,0.0046,0.0046,0.0046
verify,obj,2879,2879,0.7864,0.7864,0.7402,0.7402,0.7402,0.0462,0.0462,0.0462
verify,rel,15602,15602,0.7223,0.7223,0.6836,0.6836,0.6836,0.0387,0.0387,0.0387
