image_id,width,height,n_objects,n_attributes,n_relations,attrs_per_obj,rels_per_obj
2353884,500,281,18,6,33,0.333,1.833
2320168,331,500,16,4,12,0.25,0.75
2410049,375,500,15,11,46,0.733,3.067
2375361,500,400,4,7,10,1.75,2.5
2410046,500,375,21,17,80,0.81,3.81
2320162,375,500,14,1,22,0.071,1.571
2410041,500,334,10,11,7,1.1,0.7
2343566,500,333,19,11,21,0.579,1.105
2414600,500,313,17,19,28,1.118,1.647
2372860,500,375,9,4,9,0.444,1.0
2362812,500,344,18,13,52,0.722,2.889
2414605,500,333,17,14,84,0.824,4.941
1591973,734,1024,9,8,6,0.889,0.667
2315418,500,401,2,2,0,1.0,0.0
2409694,500,332,8,4,11,0.5,1.375
2379412,500,389,19,10,48,0.526,2.526
2375145,333,500,6,4,6,0.667,1.0
2370424,500,292,9,5,22,0.556,2.444
2394854,500,334,13,10,20,0.769,1.538
2325190,500,281,24,4,92,0.167,3.833
2394852,500,333,29,29,163,1.0,5.621
2375140,500,333,7,10,9,1.429,1.286
2325195,500,333,37,3,101,0.081,2.73
2378230,500,334,11,8,18,0.727,1.636
2389015,500,500,0,0,0,0.0,0.0
2378235,500,334,26,12,56,0.462,2.154
1160007,1024,683,2,0,0,0.0,0.0
2317810,500,500,23,6,78,0.261,3.391
1160003,1024,575,32,13,119,0.406,3.719
2413380,500,375,31,14,169,0.452,5.452
1160009,1024,682,0,0,0,0.0,0.0
961,800,601,14,4,44,0.286,3.143
286099,640,480,10,7,29,0.7,2.9
2391519,500,283,11,0,29,0.0,2.636
2374892,500,375,24,17,98,0.708,4.083
2329750,500,375,21,8,24,0.381,1.143
2335008,500,331,13,4,17,0.308,1.308
2397582,500,333,27,15,115,0.556,4.259
2346551,500,333,16,15,11,0.938,0.688
2387230,500,333,20,7,62,0.35,3.1
2406404,500,334,7,15,17,2.143,2.429
2397589,500,375,15,9,40,0.6,2.667
2382602,500,378,15,1,22,0.067,1.467
2343077,500,356,28,14,115,0.5,4.107
2347977,375,500,11,17,22,1.545,2.0
2395984,500,334,12,17,24,1.417,2.0
2324461,500,500,9,0,17,0.0,1.889
2323656,375,500,27,20,52,0.741,1.926
2352130,500,332,12,14,33,1.167,2.75
2341787,500,375,24,16,72,0.667,3.0
2357747,500,333,17,6,29,0.353,1.706
2357744,500,335,11,5,15,0.455,1.364
2343318,500,375,20,4,57,0.2,2.85
2388232,500,375,13,11,36,0.846,2.769
2343311,500,375,15,6,48,0.4,3.2
2409036,500,333,26,20,131,0.769,5.038
2370242,500,375,15,19,44,1.267,2.933
2411391,500,375,6,12,18,2.0,3.0
2411397,500,375,0,0,0,0.0,0.0
2360094,278,500,15,8,14,0.533,0.933
2353084,340,500,19,4,20,0.211,1.053
2368088,500,334,11,4,25,0.364,2.273
2367708,500,374,6,1,8,0.167,1.333
2415552,500,375,17,4,68,0.235,4.0
2352860,500,333,24,12,151,0.5,6.292
2352862,500,337,20,2,44,0.1,2.2
2361702,375,500,7,7,4,1.0,0.571
2369283,500,375,24,10,104,0.417,4.333
2369282,500,375,27,4,84,0.148,3.111
2352686,500,326,29,12,111,0.414,3.828
2352682,500,236,9,5,0,0.556,0.0
2321343,500,333,31,22,126,0.71,4.065
2411027,333,500,4,12,1,3.0,0.25
2374237,500,333,24,17,109,0.708,4.542
2395326,500,375,14,18,22,1.286,1.571
2368884,375,500,24,20,110,0.833,4.583
2415736,500,375,19,6,58,0.316,3.053
2378416,500,345,3,6,1,2.0,0.333
2365465,332,500,8,6,24,0.75,3.0
2368881,500,333,16,3,47,0.188,2.938
2347208,500,333,17,6,52,0.353,3.059
2396982,500,333,10,9,25,0.9,2.5
2338002,500,375,2,0,0,0.0,0.0
2362816,500,500,5,3,0,0.6,0.0
2318653,500,375,10,7,19,0.7,1.9
2407116,334,500,4,6,9,1.5,2.25
2383415,500,499,22,24,108,1.091,4.909
2317105,500,321,27,12,155,0.444,5.741
2385491,500,281,18,12,74,0.667,4.111
2333659,500,334,13,2,31,0.154,2.385
2332543,500,376,12,9,13,0.75,1.083
2380474,500,375,9,12,17,1.333,1.889
2380477,333,500,15,17,21,1.133,1.4
2355481,500,333,26,8,103,0.308,3.962
2344578,500,500,22,7,73,0.318,3.318
2408322,500,375,18,4,77,0.222,4.278
2355489,500,333,19,11,86,0.579,4.526
2380479,500,333,19,9,53,0.474,2.789
2344571,500,333,35,6,68,0.171,1.943
2353624,500,321,21,11,71,0.524,3.381
2322704,500,376,16,13,39,0.812,2.438
2334060,500,333,19,9,34,0.474,1.789
1592615,1024,741,9,9,13,1.0,1.444
1592614,1024,683,4,2,7,0.5,1.75
3513,500,375,10,9,13,0.9,1.3
2332548,334,500,19,10,32,0.526,1.684
2328548,500,380,8,0,6,0.0,0.75
2383269,375,500,20,13,40,0.65,2.0
2685,800,600,12,1,25,0.083,2.083
2687,600,800,12,3,10,0.25,0.833
1655,800,600,17,7,52,0.412,3.059
2682,600,800,3,5,3,1.667,1.0
2365742,500,333,19,15,44,0.789,2.316
2413897,500,375,10,8,40,0.8,4.0
2365281,500,402,14,20,28,1.429,2.0
2380512,500,332,18,11,31,0.611,1.722
90,800,534,25,20,122,0.8,4.88
2362245,500,500,17,4,14,0.235,0.824
2355661,500,375,10,4,6,0.4,0.6
2416555,500,375,14,0,16,0.0,1.143
2327774,500,333,8,1,8,0.125,1.0
2416552,500,334,13,2,47,0.154,3.615
2369755,500,375,16,1,23,0.062,1.438
2333543,500,375,6,3,5,0.5,0.833
2369757,500,375,12,5,20,0.417,1.667
2363705,500,333,7,7,18,1.0,2.571
2363706,500,375,21,10,95,0.476,4.524
2369020,500,375,12,3,18,0.25,1.5
2318908,500,386,36,12,226,0.333,6.278
2327921,500,500,11,10,22,0.909,2.0
2394857,500,355,19,16,85,0.842,4.474
2377849,310,500,12,6,3,0.5,0.25
2319231,500,400,17,3,18,0.176,1.059
2320346,375,500,9,5,12,0.556,1.333
2319235,500,375,8,4,4,0.5,0.5
2319237,500,375,16,0,45,0.0,2.812
2362038,500,500,16,8,41,0.5,2.562
2316504,500,379,18,7,70,0.389,3.889
2402403,500,331,9,6,11,0.667,1.222
2330898,333,500,12,3,8,0.25,0.667
2381701,500,500,6,8,6,1.333,1.0
2402405,500,500,16,0,23,0.0,1.438
2402409,500,348,15,7,37,0.467,2.467
2385070,500,333,22,13,67,0.591,3.045
2385634,332,500,14,5,22,0.357,1.571
1159688,1024,576,8,0,16,0.0,2.0
2349105,500,375,17,7,41,0.412,2.412
