structural,semantic,n_questions,depth_min,depth_max,depth_mean,depth_std,depth_dist
choose,attr,8488,2,4,2.33,0.484,"{2: 5743, 3: 2689, 4: 56}"
choose,cat,1431,2,3,2.373,0.484,"{2: 897, 3: 534}"
choose,global,556,2,2,2.0,0.0,{2: 556}
choose,rel,5754,2,5,2.802,0.483,"{2: 1352, 3: 4191, 4: 210, 5: 1}"
compare,attr,4157,2,3,2.887,0.316,"{2: 469, 3: 3688}"
logical,attr,3411,4,6,4.449,0.518,"{4: 1913, 5: 1463, 6: 35}"
logical,obj,12685,5,9,5.558,0.896,"{5: 9122, 6: 50, 7: 3506, 8: 6, 9: 1}"
query,attr,18092,2,4,2.415,0.504,"{2: 10681, 3: 7308, 4: 103}"
query,cat,7185,2,3,2.787,0.409,"{2: 1528, 3: 5657}"
query,global,2612,2,2,2.0,0.0,{2: 2612}
query,rel,40278,3,5,3.283,0.467,"{3: 29184, 4: 10788, 5: 306}"
verify,attr,8053,2,4,2.313,0.477,"{2: 5577, 3: 2428, 4: 48}"
verify,global,879,2,2,2.0,0.0,{2: 879}
verify,obj,2879,2,3,2.451,0.498,"{2: 1582, 3: 1297}"
verify,rel,15602,2,5,3.011,0.808,"{2: 4867, 3: 5834, 4: 4757, 5: 144}"
